Standard Catalog Information,,
Product Type,Required Parameters,Details
RStudio,Description,"RStudio is an integrated development environment (IDE) for R. It includes a console, syntax-highlighting editor that supports direct code execution, as well as tools for plotting, history, debugging and workspace management."
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,Initial user,User Name for Rstudio.  Do not use 'root' and 'ec2-user'.
,Initial Password,Password for RStudio. Please keep this in your records as this will not be echoed in the CloudFormation Console
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance.  If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,Instance Type,Instance type for RStudio. Choose the instance type from the dropdown.  Eg: The default is t2.micro.
,Expected time to provision,10 Minutes
Nextflow Advanced,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed
Eg: MedicalResearch
"
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,Nextflow Configuration,
,"PipelineName
",Search and select the pipeline git repository URL. If not found please enter the custom pipeline URL. The repo should contain the nextflow.config file which specifies the name of the docker container image.
,PipelineContainer,"Public Docker container image of the pipeline to be executed. If you are using a custom pipeline, ensure that the custom container image is publicly available on Docker Hub. Eg: nextflow/rnaseq-nf:latest"
,InputDataLocation,"An S3 bucket that holds input data for the Nextflow pipeline. The bucket name must respect the S3 bucket naming conventions (can contain lowercase letters, numbers, periods and hyphens)."
,InputDataPattern,"The pattern to match samples to be processed as inputs to the pipeline. E.g. <data/ggal/*_{1,2}.fq>. It can also point to a CSV or tsv file that contains details of the files to be processed."
,OutputDataLocation,"The full path on the local disk where outputs of the pipeline should be stored. The default path above will enable you to view the outputs via the browser. The path should be accessible to the user ec2-user. Alternately, provide an S3 bucket for storing analysis results. The bucket name must respect the S3 bucket naming conventions (can contain lowercase letters, numbers, periods and hyphens). Eg: s3://<BucketName>"
,Head Node Configuration,
,InstanceType,"Head Node EC2 instance type
Eg: t2.small"
,HeadNodeEBSVolumeSize,"The initial size of the volume (in GBs) Head Node EBS will use for storage.
Eg: 16 "
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the Head Node. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSHLocation,The IP address range that can be used to SSH to the Head Node.
,Batch Configuration,
,VPCId,Choose VPC Id in the drop-down list. The VPC to create security groups and deploy AWS Batch to.
,WorkerNodeSubnetId,Subnet you want your Batch Worker Node to launch in  We recommend public subnets.
,ComputeEnvMinvCpus,"The minimum number of CPUs to be kept in running state for the Batch Worker Nodes. If you give a non-zero value, some worker nodes may stay in a running state always and you may incur higher costs. Eg: 0"
,ComputeEnvMaxvCpus,"The maximum number of CPUs for the default Batch Compute Environment
Eg: 100"
,SpotBidPercentage,"The maximum percentage of On-Demand pricing you want to pay for Spot resources. You will always pay the lowest Spot market price and never more than your maximum percentage.
Eg: 100"
,WorkerNodeInstanceType,"Specify the instance types to be used to carry out the computation. You can specify one or more family or instance types. The option 'optimal' chooses the best fit of M4, C4, and R4 instance types available in the region. Eg: Optimal "
,WorkerNodeEBSVolumeSize,The initial size of the volume (in GBs) Worker Node EBS will use for storage. Eg: 100
,Expected time to provision,10 Minutes
Cromwell Advanced,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed
Eg: MedicalResearch
"
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,Cromwell Configuration,
,"PipelineName
",Search and select the pipeline git repository URL. If not found please enter the custom pipeline URL.
,InputDataLocation,An S3 bucket path that holds input data for the Cromwell pipeline. Eg: bucket-name/prefix
,OutputDataLocation,An S3 bucket path that holds input data for the Cromwell pipeline. Eg: bucket-name/prefix
,Head Node Configuration,
,InstanceType,"Head Node EC2 instance type
Eg: t2.small"
,HeadNodeEBSVolumeSize,"The initial size of the volume (in GBs) Head Node EBS will use for storage.
Eg: 16 "
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the Head Node. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSHLocation,The IP address range that can be used to SSH to the Head Node.
,Batch Configuration,
,VPCId,Choose VPC Id in the drop-down list. The VPC to create security groups and deploy AWS Batch to. NOTE: Must be the same VPC as the provided subnet IDs.
,WorkerNodeSubnetId,Subnet you want your Batch Worker Node to launch in  We recommend public subnets.
,ComputeEnvMinvCpus,"The minimum number of CPUs to be kept in running state for the Batch Worker Nodes. If you give a non-zero value, some worker nodes may stay in a running state always and you may incur higher costs. Eg: 0"
,ComputeEnvMaxvCpus,"The maximum number of CPUs for the default Batch Compute Environment
Eg: 100"
,SpotBidPercentage,"The maximum percentage of On-Demand pricing you want to pay for Spot resources. You will always pay the lowest Spot market price and never more than your maximum percentage.
Eg: 100"
,WorkerNodeInstanceType,"Specify the instance types to be used to carry out the computation. You can specify one or more family or instance types. The option 'optimal' chooses the best fit of M4, C4, and R4 instance types available in the region. Eg: Optimal "
,WorkerNodeEBSVolumeSize,The initial size of the volume (in GBs) Worker Node EBS will use for storage. Eg: 100
,Expected time to provision,10 Minutes
Docker on Amazon EC2 Linux,Description,"Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud. The RLCatalyst Research Gateway standard EC2 product is based on Amazon Linux 2, docker is installed and can be used for any general-purpose computer"
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSH Location,The IP address range that can be used to SSH to the EC2 instances
,LatestAmiId,Please enter an  AMI of the EC2 instance.
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,Expected time to provision,10 minutes
MySQL,Description,"MySQL is the world's most popular open source database. With its proven performance, reliability and ease-of-use, MySQL has become the leading database choice for web-based applications, covering the entire range from personal projects and websites, via e-commerce and information services"
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,ConnectFromPort,Provide which Port has to be opened in the Security Group of the EC2 Instance to access MySQL Docker Container Eg: 3306
,ConnectToPort,Provide which Port has to be opened in the Security Group of the EC2 Instance to access MySQL Docker Container  Eg: 3306 
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSH Location,The IP address range that can be used to SSH to the EC2 instances
,LatestAmiId,Please enter an  AMI of the EC2 instance.
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,Expected time to provision,10 minutes
Ubuntu 20 04 on Amazon EC2 ,Description,"Use Ubuntu 20.04, on Amazon Elastic Compute Cloud (Amazon EC2)."
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Select one or more studies to mount to your workspace (Maximum of 2)"
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,AllowedSSH Location,The IP address range that can be used to SSH to the EC2 instances
,LatestAmiId,Please enter an  AMI of the EC2 instance.
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,Expected time to provision,10 minutes
PCluster ,Description,"PCluster Product of Research Gateway is easy to deploy High-Performance Computing based on AWS ParallelCluster 3.0 which supports AWS Batch and Slurm schedulers"
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens and underscores are allowed. Spaces and special characters are not allowed."
,Instance Type,Choose the instance type for this instance. Eg: t2.small
,SSHLocation,The IP address range that can be used to SSH to the EC2 instances
,KeyPair,"Name of an existing EC2 KeyPair to enable SSH access to the instance. If no key pairs exist, please create one from the button next to the dropdown. Please contact your Administrator if you are unable to create one."
,CustomAMI,Enter the AMI Id of a custom AMI if you wish to use a non-default AMI. e.g. ami-12345678. The AMI Id entered should exist in this project account and region.
,HeadNodeInstanceType,Select Head Node EC2 instance type from the drop-down list
,VpcId,Select The VPC to create security groups and deploy AWS Batch or slurm to from the drop-down list
,HeadNodeSubnetId,Select the Subnet you want your Head Node to launch in from the drop-down list. You must select a public subnet
,FileSystemType,Choose the fileSystem type EFS/FSxForLustre (provisioned earlier) that you want to mount on headnode leave it as NONE if don't want to mount any filesystem.
,FileSystemId,Enter the File System Id of the EFS/FSxForLustre file system which you want to use. e.g. fs-12345678. Leave this field to default if you do not want to use any file system
,Scheduler,Select a Cluster scheduler from the drop-down list 
,WorkerNodeInstanceType,Select the instance types to be used to carry out the computation from the drop-down list
,WorkerNodeSubnetId,Select the Subnet you want your Batch or slurm Worker Node to launch in from the drop-down list. We recommend public subnets.
,ComputeEnvMinvCpus,"Enter The minimum number of CPUs to be kept in running state for the Batch/slurm Worker Nodes. If you give a non-zero value, some worker nodes may stay in a running state always and you may incur higher cost."
,ComputeEnvMaxvCpus,Enter The maximum number of CPUs for the default Batch or slurm Compute Environment
,ComputeEnvDesiredvCpus,Enter The Desired number of CPUs for the default Batch Compute Environment
,SpotBidPercentage,Enter The maximum percentage of On-Demand pricing you want to pay for Spot resources. You will always pay the lowest Spot market price and never more than your maximum percentage
Integrated Genomics Viewer ,Description,Integrative Genomics Viewer (IGV) is a lightweight visualization tool that enables intuitive real-time exploration of diverse and large-scale genomic datasets on standard desktop computers.
,Product Name,"Provide a name to help you easily identify this instance of the product. Only alphanumeric characters, dots, hyphens, and underscores are allowed. Spaces and special characters are not allowed."
,Study Selection,"Expand the section to select studies to mount to your workspace. Select one or more studies to mount to your workspace from the dropdown list (Maximum of 2)"
,KeyPair,"Choose a Keypair in the dropdown list. Note: If Keypair is not available in the drop-down, click on the "" +"" button. A Keypair creation form is opened. Fill the details in the form and click on the ""Create Keypair"" button. Now that Keypair is available in the list. Remember to save the private key file securely for future use. Do not share this file with others for the security of your account."
,AllowedIpAddress,"Please enter the IP address range that is allowed to Connect to the instance via SSH"
,InstanceType,"Choose instance type in the drop-down list. E.g.: t3.medium"
