Project-Related Events
Logical ID,Status,Status Reason
COST_CONTROL,PROJECT_RESUMED,You can see the project name with status and triggered user name
COST_CONTROL,PROJECT_STOPPED,You can see the project name with status and triggered user name
COST_CONTROL,PROJECT_PAUSED,You can see the project name with status and triggered user name
COST_CONTROL,PROJECT_AUTO_STOPPED,You can see the project was auto stopped status with budget threshold crossed value
PROJECT_UPDATE,CREATING_SSM_PARAMETER_SUCCESSFUL,You can see SSM parameter creation success information.
PROJECT_UPDATE,SHARING_AMI_SUCCESSFUL,You can see the shared AMI with ID success information for RStudio and Nextflow-Advanced products.
COST_CONTROL,EOD_REPORT_GENERATED,You can see the EOD report generated success information with username.
PROJECT,PROJECT_BUDGET_CHANGED,You can see project budget changes success information with triggered user name and the total budget 
PROJECT,PROJECT_UPDATE_USER,You can see assigned researchers to project update success information with count 
USER,USER_CREATION_COMPLETE,You can see new user creation success information with triggered new user name
USER,USER_CREATION_FAILED,You can see new user creation failed information with new user name and reason 
